DataRotation: 41 0 8
RootCenter: 400.9 120.3 -306
DataDimension: 689 393 200
Id X Y Z T Precursors Lineage CellFile Layer DivType
136 516.414 144.55 151 240 "{9910,10,128}" 9910 1 1 1
137 408.084 154.642 120 240 "{5566,6,18,43,109}" 5566 0 5 -
137 415.486 166.754 103 300 "{5566,6,18,43,109}" 5566 0 5 -
138 398.665 168.099 124 240 "{5566,6,18,43,109}" 5566 0 5 -
138 407.412 189.631 114 300 "{5566,6,18,43,109}" 5566 0 5 -
139 402.029 163.389 110 220 "{5566,6,18,43,110}" 5566 0 4 -
139 413.467 174.828 101 280 "{5566,6,18,43,110}" 5566 0 4 0
140 399.337 178.865 118 220 "{5566,6,18,43,110}" 5566 0 4 -
140 412.122 199.723 113 288 "{5566,6,18,43,110}" 5566 0 4 0
141 288.99 153.969 132 108 "{4,19}" 4 0 3 -
141 289.663 155.988 133 196 "{4,19}" 4 0 3 0
142 291.008 166.754 132 108 "{4,19}" 4 0 2 -
142 290.335 168.099 124 166 "{4,19}" 4 0 2 0
143 299.083 155.315 135 197 "{4,19,141}" 4 0 3 -
143 307.83 159.352 137 289 "{4,19,141}" 4 0 3 1
144 284.28 153.969 135 197 "{4,19,141}" 4 0 3 -
144 276.878 164.735 138 300 "{4,19,141}" 4 0 3 -
145 230.452 168.099 133 103 "{4,20}" 4 0 1 -
145 239.199 165.408 133 174 "{4,20}" 4 0 1 1
146 204.883 172.809 133 103 "{4,20}" 4 0 1 -
146 183.352 176.174 135 206 "{4,20}" 4 0 1 1
147 185.371 181.556 134 207 "{4,20,146}" 4 0 2 -
147 190.753 190.303 133 300 "{4,20,146}" 4 0 2 -
149 241.89 174.828 129 175 "{4,20,145}" 4 0 2 -
149 241.217 180.211 123 256 "{4,20,145}" 4 0 2 1
150 236.507 159.352 138 175 "{4,20,145}" 4 0 3 -
150 239.199 164.735 139 300 "{4,20,145}" 4 0 3 -
151 298.41 170.118 126 167 "{4,19,142}" 4 0 2 -
151 303.792 181.556 118 228 "{4,19,142}" 4 0 2 1
152 282.261 170.791 126 167 "{4,19,142}" 4 0 2 -
152 271.496 180.884 122 245 "{4,19,142}" 4 0 2 1
153 304.465 171.464 128 229 "{4,19,142,151}" 4 0 5 -
153 309.175 184.248 119 300 "{4,19,142,151}" 4 0 5 -
154 305.138 190.303 119 229 "{4,19,142,151}" 4 0 4 -
154 307.83 203.088 109 298 "{4,19,142,151}" 4 0 4 2
155 258.711 141.185 131 151 "{1212,1,13}" 1212 -1 3 -
155 242.563 144.55 131 252 "{1212,1,13}" 1212 -1 3 0
156 257.366 138.494 120 151 "{1212,1,13}" 1212 -1 2 -
156 250.637 150.605 119 211 "{1212,1,13}" 1212 -1 2 0
157 258.711 149.26 119 212 "{1212,1,13,156}" 1212 -1 2 -
157 263.421 145.895 116 272 "{1212,1,13,156}" 1212 -1 2 1
158 243.909 152.624 119 212 "{1212,1,13,156}" 1212 -1 2 -
158 222.377 163.389 118 300 "{1212,1,13,156}" 1212 -1 2 -
159 182.679 173.482 140 207 "{4,20,146}" 4 0 3 -
159 149.709 183.575 142 300 "{4,20,146}" 4 0 3 -
160 503.629 112.253 131 119 "{2233,3,14}" 2233 -1 1 -
160 530.543 110.234 132 177 "{2233,3,14}" 2233 -1 1 1
161 479.407 114.944 131 119 "{2233,3,14}" 2233 -1 1 -
161 466.623 118.981 128 181 "{2233,3,14}" 2233 -1 1 1
162 462.585 118.308 134 182 "{2233,3,14,161}" 2233 -1 3 -
162 469.987 114.944 134 282 "{2233,3,14,161}" 2233 -1 3 0
163 467.968 118.308 125 182 "{2233,3,14,161}" 2233 -1 2 -
163 465.277 123.691 120 251 "{2233,3,14,161}" 2233 -1 2 1
