DataRotation: 92 0 16
RootCenter: 315.6 117.3 -130.8
DataDimension: 682 406 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
137 254.085 166.734 63 342 "{4,102,103,121,136}" 4 -1 6 2
138 263.409 184.05 64 252 "{4,102,103,121,136}" 4 -1 5 -
138 260.745 184.716 64 319 "{4,102,103,121,136}" 4 -1 5 2
139 253.419 184.716 62 320 "{4,102,103,121,136,138}" 4 -1 5 -
139 252.087 188.712 63 350 "{4,102,103,121,136,138}" 4 -1 5 -
140 268.071 185.382 66 320 "{4,102,103,121,136,138}" 4 -1 5 -
140 272.067 191.376 68 350 "{4,102,103,121,136,138}" 4 -1 5 -
141 252.753 168.066 61 343 "{4,102,103,121,136,137}" 4 -1 6 -
141 252.753 167.4 59 350 "{4,102,103,121,136,137}" 4 -1 6 -
142 252.753 168.066 65 343 "{4,102,103,121,136,137}" 4 -1 6 -
142 254.085 166.068 66 350 "{4,102,103,121,136,137}" 4 -1 6 -
143 328.013 146.087 51 71 "{4,101}" 4 -1 2 -
143 338.003 137.429 57 140 "{4,101}" 4 -1 2 0
144 336.005 160.074 51 71 "{4,101}" 4 -1 1 -
144 337.337 167.4 53 130 "{4,101}" 4 -1 1 0
145 345.329 160.074 53 131 "{4,101,144}" 4 -1 1 -
145 351.989 164.07 55 180 "{4,101,144}" 4 -1 1 1
146 328.013 168.732 53 131 "{4,101,144}" 4 -1 1 -
146 321.353 174.726 53 180 "{4,101,144}" 4 -1 1 2
147 321.353 169.398 53 181 "{4,101,144,146}" 4 -1 1 -
147 328.013 198.703 59 241 "{4,101,144,146}" 4 -1 1 1
148 324.683 182.718 53 181 "{4,101,144,146}" 4 -1 1 -
148 328.013 198.703 51 262 "{4,101,144,146}" 4 -1 1 2
149 324.683 191.376 48 263 "{4,101,144,146,148}" 4 -1 1 -
149 319.354 198.703 44 350 "{4,101,144,146,148}" 4 -1 1 -
150 330.677 206.029 52 263 "{4,101,144,146,148}" 4 -1 1 -
150 328.679 214.687 51 350 "{4,101,144,146,148}" 4 -1 1 -
151 326.015 190.71 59 242 "{4,101,144,146,147}" 4 -1 4 -
151 322.685 199.369 60 339 "{4,101,144,146,147}" 4 -1 4 2
152 330.011 208.027 59 242 "{4,101,144,146,147}" 4 -1 3 -
152 328.013 221.347 65 321 "{4,101,144,146,147}" 4 -1 3 2
153 327.347 219.349 61 322 "{4,101,144,146,147,152}" 4 -1 3 -
153 328.013 226.009 60 350 "{4,101,144,146,147,152}" 4 -1 3 -
154 326.015 227.341 69 322 "{4,101,144,146,147,152}" 4 -1 3 -
154 335.339 231.337 71 350 "{4,101,144,146,147,152}" 4 -1 3 -
155 321.353 194.707 58 340 "{4,101,144,146,147,151}" 4 -1 4 -
155 321.353 193.375 55 350 "{4,101,144,146,147,151}" 4 -1 4 -
156 326.015 206.695 61 340 "{4,101,144,146,147,151}" 4 -1 4 -
156 329.345 208.027 64 350 "{4,101,144,146,147,151}" 4 -1 4 -
157 352.655 172.728 54 181 "{4,101,144,145}" 4 -1 3 -
157 368.64 181.386 61 238 "{4,101,144,145}" 4 -1 3 0
158 353.321 154.746 57 181 "{4,101,144,145}" 4 -1 4 -
158 363.978 170.73 62 268 "{4,101,144,145}" 4 -1 4 2
159 373.302 165.402 60 269 "{4,101,144,145,158}" 4 -1 4 -
159 374.634 172.728 60 350 "{4,101,144,145,158}" 4 -1 4 -
160 358.649 175.392 65 269 "{4,101,144,145,158}" 4 -1 4 -
160 353.987 186.048 63 350 "{4,101,144,145,158}" 4 -1 4 -
161 347.327 136.097 57 141 "{4,101,143}" 4 -1 2 -
161 357.983 135.431 61 204 "{4,101,143}" 4 -1 2 0
162 325.349 143.423 57 141 "{4,101,143}" 4 -1 2 -
162 319.354 150.083 61 198 "{4,101,143}" 4 -1 2 1
163 318.022 138.761 61 199 "{4,101,143,162}" 4 -1 6 -
163 315.358 154.08 69 350 "{4,101,143,162}" 4 -1 6 -
164 320.687 156.744 61 199 "{4,101,143,162}" 4 -1 5 -
164 323.351 174.726 65 253 "{4,101,143,162}" 4 -1 5 0
165 331.343 172.062 65 254 "{4,101,143,162,164}" 4 -1 5 -
